term,icf
access bike,d475
access bus,d470
access recumbent,d475
access scooter,d475
access stationary bike,d475
access to public transportation,d470
access/rides bike,d475
access/uses metro,d470
access/uses public transportation,d470
accessed/rode bike,d475
advance to upright position,d410
all fingers can oppose,d440
all fingers/thumb can oppose,d440
alternate between sitting and standing,d410
alternate sit and stand,d410
alternate sitting and standing,d410
amb,d450
amb around atrium,d460
amb around room,d460
amb around the room,d460
amb around the ward,d460
amb around ward,d460
amb at community,d460
amb at home,d460
amb at house,d460
amb at household,d460
amb at the home,d460
amb bathroom,d460
amb clinic,d460
amb community,d460
amb down,d455
amb downstairs,d455
amb from bed to bathroom,d460
amb home,d460
amb hospital,d460
amb house,d460
amb household,d460
amb in clinic,d460
amb in home,d460
amb in hospital,d460
amb in house,d460
amb in room,d460
amb in the home,d460
amb in/inside center,d460
amb into clinic,d460
amb into hospital,d460
amb room,d460
amb short household distances,d460
amb to room,d460
amb to the lodge,d460
amb to unit,d460
amb unit,d460
amb up,d455
amb up and down,d455
amb up down,d455
amb up/downstairs,d455
amb upstairs,d455
amb/ambulate,d450
amb/mob,d450
amble 0 laps around the ward,d460
amble about room,d460
amble around atrium,d460
amble few rungs,d450
ambulate,d450
ambulate 0 laps around the ward,d460
ambulate about room,d460
ambulate about the room,d460
ambulate about unit/room,d460
ambulate around atrium,d460
ambulate around corridor,d460
ambulate around hospital,d460
ambulate around perimeter,d460
ambulate around room,d460
ambulate around the room,d460
ambulate around the ward,d460
ambulate around ward,d460
ambulate at home,d460
ambulate at household,d460
ambulate at the home,d460
ambulate atrium,d460
ambulate both inside as well as outside the house,d460
ambulate both jilsiile as well as outside the house,d460
ambulate community,d460
ambulate community distances,d460
ambulate down,d455
ambulate down/up,d455
ambulate downhill,d455
ambulate downstairs,d455
ambulate few rungs,d450
ambulate hallway,d460
ambulate home,d460
ambulate home/community,d460
ambulate household,d460
ambulate household distances,d460
ambulate in clinic,d460
ambulate in home,d460
ambulate in hospital,d460
ambulate in house,d460
ambulate in room,d460
ambulate in room/unit,d460
ambulate in the clinic,d460
ambulate in the home,d460
ambulate in the house,d460
ambulate in the room,d460
ambulate on level terrain,d450
ambulate on uneven terrain,d450
ambulate on unlevel terrain,d450
ambulate outside,d460
ambulate to bathroom,d460
ambulate to bathroom/toilet,d460
ambulate to clinic,d460
ambulate to examination room,d460
ambulate to lodge,d460
ambulate to room,d460
ambulate to the bathroom,d460
ambulate to the clinic,d460
ambulate to the examination room,d460
ambulate to the lodge,d460
ambulate to the room,d460
ambulate to the unit,d460
ambulate to toilet,d460
ambulate to unit,d460
ambulate up,d455
ambulate up and down,d455
ambulate up and down steps,d455
ambulate up down,d455
ambulate upstairs,d455
ambulate well inside the house,d460
ambulate well outside the house,d460
ambulated,d450
ambulated around atrium,d460
ambulated around hospital,d460
ambulated around the atrium,d460
ambulated around the ward,d460
ambulated around ward,d460
ambulated at home,d460
ambulated at household,d460
ambulated at household distances,d460
ambulated at short household distances,d460
ambulated at the home,d460
ambulated community,d460
ambulated down,d455
ambulated downstairs,d455
ambulated home,d460
ambulated in clinic,d460
ambulated in home,d460
ambulated in hospital,d460
ambulated in house,d460
ambulated in room,d460
ambulated in the clinic,d460
ambulated in the home,d460
ambulated in the house,d460
ambulated in the room,d460
ambulated to bathroom,d460
ambulated to lodge,d460
ambulated to room,d460
ambulated to the bathroom,d460
ambulated to the clinic,d460
ambulated to the lodge,d460
ambulated to the room,d460
ambulated to the unit,d460
ambulated to unit,d460
ambulated up,d455
ambulated up and down,d455
ambulated up down,d455
ambulated upstairs,d455
ambulatede to clinic,d460
ambulates,d450
ambulates around atrium,d460
ambulates around the atrium,d460
ambulates at home,d460
ambulates at house,d460
ambulates at the house,d460
ambulates community distances,d460
ambulates down,d455
ambulates downstairs,d455
ambulates on the second floor of home,d460
ambulates up,d455
ambulates up and down,d455
ambulates up down,d455
ambulates upstairs,d455
ambulating,d450
ambulating 0 laps around the ward,d460
ambulating 2 laps around the ward,d460
ambulating around atrium,d460
ambulating around the atrium,d460
ambulating around the ward,d460
ambulating around ward,d460
ambulating down,d455
ambulating downstairs,d455
ambulating in house,d460
ambulating in the house,d460
ambulating to bathroom,d460
ambulating to the bathroom,d460
ambulating up,d455
ambulating up and down,d455
