term,icf
care for her personal needs,d500
care for personal need,d500
disheveled,d500
looks after personal needs,d500
personal care,d500
use bathroom,d500
worn t-shirt,d500
bath,d510
bath/shower,d510
bathe,d510
bathe ability,d510
bathe at sink,d510
bathe in tub,d510
bathe self,d510
bathed,d510
bathes,d510
bathing,d510
bathing/showering,d510
baths,d510
self bath,d510
self bathing,d510
self-bath,d510
self-bathing,d510
shampoo hair,d510
shampooing hair,d510
shower,d510
shower ability,d510
shower in tub,d510
shower self,d510
shower/bath,d510
showering,d510
showers,d510
sponge bath,d510
takes bath/shower,d510
takes shower/bath,d510
use bathtub,d510
use shower/bath,d510
use shower/tub,d510
wash self,d510
wash self at sink,d510
wash self in tub,d510
washing hair,d510
"bathing, toileting","d510, d530"
bathing/toileting,"d510, d530"
"shower, toilet","d510, d530"
shower/toilet,"d510, d530"
"showering, dressing","d510, d540"
apply make-up,d520
apply makeup,d520
apply own make-up,d520
apply/remove makeup,d520
applying makeup,d520
bothers with personal grooming,d520
brush hair/teeth,d520
brushed hair,d520
brushes hair,d520
brushing hair,d520
burshes hair,d520
care for fingernails,d520
care for her personal hygiene,d520
care for one's skin,d520
care for personal grooming,d520
care for personal hygiene,d520
care for skin,d520
caring for fingernails,d520
caring for skin,d520
carry on hygiene,d520
comb hair,d520
comb or brush hair,d520
combed hair,d520
combing hair,d520
combs hair,d520
combs or brushes hair,d520
continue hygiene,d520
does apply own make-up,d520
does shave,d520
employ makeup,d520
employ own make-up,d520
get haircut,d520
groom,d520
groomed,d520
grooming,d520
grooming/hygiene,d520
grooms,d520
hgyiene,d520
hygiene,d520
hygiene,d520
hygiene/grooming,d520
hygienic,d520
keep up hygiene,d520
look after personal hygiene,d520
looks after personal grooming,d520
looks after personal hygiene,d520
maintain hygiene,d520
moisturize self,d520
moisturize self at sink,d520
personal care/hygiene,d520
personal grooming,d520
personal hygiene,d520
puts on make-up,d520
reapply makeup,d520
reapplying makeup,d520
remove makeup,d520
reuse makeup,d520
reuse own make-up,d520
routine/hygiene,d520
shave,d520
shave ability,d520
shave in tub,d520
shave self,d520
shaved,d520
shaven,d520
shaves,d520
shaving,d520
sustain hygiene,d520
toothbrushing,d520
unshaven,d520
use hairbrush,d520
use makeup,d520
use mouthwash,d520
use own make-up,d520
uses hairbrush,d520
uses razor,d520
uses shaver,d520
utilize makeup,d520
