# Licensed under a BSD license available at https://github.com/CC-RMD-EpiBio/terminologies/blob/main/LICENSE
term	icf
a heavy drinker	d570
abide-by medication	d570
abuse marijuana	d570
administer medication	d570
administered medication	d570
administers medication	d570
admit having any suicidal ideation	d570
admit history of drug use	d570
admit history of problematic use of alcohol	d570
admit history of suicide attempt	d570
admit past thought of suicide	d570
admit smoking	d570
admit suicidal ideation	d570
admit suicidal intent	d570
admit suicidal or homicidal ideation	d570
admit suicidal plan	d570
admit suicidal thought	d570
admit suicidal thought plan and intent	d570
admit use of drugs	d570
affirm having any suicidal ideation	d570
affirm history of drug use	d570
affirm history of problematic use of alcohol	d570
affirm history of suicide attempt	d570
affirm past thought of suicide	d570
affirm smoking	d570
affirm suicidal ideation	d570
affirm suicidal intent	d570
affirm suicidal or homicidal ideation	d570
affirm suicidal plan	d570
affirm suicidal thought	d570
affirm suicidal thought plan and intent	d570
affirm use of drugs	d570
aid by pain medication	d570
aid with house cleaning	d640
aid with housecleaning	d640
aim of suicide	d570
alcohol	d570
alcohol abuse	d570
alcohol dependence	d570
alcohol dependency	d570
alcohol drinking deny	d570
alcohol drinking: denies	d570
alcoholic	d570
alcoholism	d570
analyse blood sugar	d570
analyze blood sugar	d570
apply cocaine	d570
apply ecstasy	d570
apply ecstasy and cocaine	d570
apply make-up	d520
apply makeup	d520
apply marijuana	d570
apply own make-up	d520
apply ritalin	d570
apply valium	d570
apply/remove makeup	d520
applying makeup	d520
arrange food for ingestion	d630
arrive to bed earlier	d570
arrive to bed early/earlier	d570
arrive to doctor	d570
arrive to drug rehabilitation group	d570
arrive to emergency room	d570
arrive to store or doctor	d570
assert having any suicidal ideation	d570
assert history of drug use	d570
assert history of problematic use of alcohol	d570
assert history of suicide attempt	d570
assert past thought of suicide	d570
assert suicidal ideation	d570
assert suicidal intent	d570
assert suicidal or homicidal ideation	d570
assert suicidal plan	d570
assert suicidal thought	d570
assert suicidal thought plan and intent	d570
assess blood sugar	d570
assist by pain medication	d570
assist with house cleaning	d640
assist with housecleaning	d640
ate breakfast	d550
ate oatmeal	d550
attempt to kill herself	d570
attempted suicide	d570
attire	d540
attired	d540
avoid eating	d570
avoids eating	d570
avoids eating food	d570
avoids meals, avoids mealtimes	d570
bake	d630
bake food for ingestion	d630
bake meal	d630
ban drinking	d570
bar drinking	d570
barbecue	d630
barbecue meal	d630
barbeque	d630
barbeque meal	d630
bath	d510
bath/shower	d510
bathe	d510
bathe ability	d510
bathe at sink	d510
bathe in tub	d510
bathe load of dishes	d640
bathe self	d510
bathed	d510
bathes	d510
bathing	d510
bathing, toileting	d510;d530
bathing/showering	d510
bathing/toileting	d510;d530
baths	d510
be clean sober	d570
been clean	d570
been clean sober	d570
been sober	d570
begin drinking	d560
begin trazodone	d570
begin using stimulant medication	d570
belong to drug rehabilitation group	d570
blanch	d630
blend	d630
blend food for ingestion	d630
block drinking	d560
boil	d630
bothers with personal grooming	d520
